city,Temperature,Rainfall,WindSpeed,Flood_Risk
Delhi,19.9,0.0,10.9,0
Delhi,20.0,0.0,9.5,0
Delhi,20.1,0.0,10.0,0
Delhi,19.8,0.0,8.6,0
Delhi,19.4,0.0,9.4,0
Delhi,19.2,0.0,15.3,0
Delhi,19.1,0.0,10.0,0
Delhi,20.3,0.0,9.0,0
Delhi,22.0,0.0,13.3,0
Delhi,19.1,0.0,11.7,0
Delhi,23.0,0.0,11.9,0
Delhi,22.8,15.4,24.5,0
Delhi,18.9,2.7,11.8,0
Delhi,18.1,0.0,10.0,0
Delhi,15.8,0.0,10.4,0
Delhi,15.8,0.0,17.9,0
Delhi,17.4,0.0,16.3,0
Delhi,20.4,0.0,19.3,0
Delhi,21.3,0.0,19.5,0
Delhi,21.2,0.0,20.9,0
Delhi,21.7,0.7,12.2,0
Delhi,20.0,0.2,11.5,0
Delhi,21.2,0.0,9.9,0
Delhi,22.1,0.0,8.8,0
Delhi,20.1,11.4,14.1,0
Delhi,20.3,7.5,15.5,0
Delhi,18.7,3.8,14.8,0
Delhi,19.5,0.0,21.1,0
Delhi,20.4,0.0,21.3,0
Delhi,22.2,0.0,11.3,0
Delhi,22.1,0.0,25.4,0
Delhi,20.7,0.0,22.2,0
Delhi,20.1,0.0,14.4,0
Delhi,21.8,0.0,9.0,0
Delhi,21.9,17.7,16.1,0
Delhi,15.7,5.1,16.6,0
Delhi,16.9,0.3,8.9,0
Delhi,18.0,0.0,10.2,0
Delhi,17.9,0.0,9.4,0
Delhi,19.7,0.0,9.4,0
Delhi,20.1,4.8,16.6,0
Delhi,17.0,13.7,16.6,0
Delhi,16.9,0.0,8.9,0
Delhi,17.1,0.0,14.8,0
Delhi,19.0,0.0,14.0,0
Delhi,20.5,0.0,13.2,0
Delhi,20.6,0.0,9.8,0
Delhi,21.3,0.0,10.8,0
Delhi,20.0,0.0,9.0,0
Delhi,20.2,0.0,10.3,0
Delhi,20.1,0.0,17.6,0
Delhi,21.3,0.0,15.5,0
Delhi,21.2,0.0,12.4,0
Delhi,21.6,0.0,14.3,0
Delhi,21.0,0.0,20.5,0
Delhi,21.5,0.0,16.7,0
Delhi,22.3,0.0,12.3,0
Delhi,24.2,0.0,11.1,0
Delhi,26.1,0.0,14.8,0
Delhi,27.7,0.0,14.1,0
Delhi,26.0,0.0,8.4,0
Delhi,27.2,0.2,10.9,0
Delhi,27.9,0.0,15.0,0
Delhi,29.2,0.0,19.4,0
Delhi,25.0,0.0,10.7,0
Delhi,25.3,0.0,12.3,0
Delhi,26.0,0.0,12.6,0
Delhi,26.0,0.0,21.9,0
Delhi,26.2,0.0,28.5,0
Delhi,29.4,0.0,12.7,0
Delhi,29.9,0.0,11.9,0
Delhi,28.8,0.0,27.5,0
Delhi,25.8,2.6,12.2,0
Delhi,26.5,0.0,13.2,0
Delhi,28.3,0.0,24.5,0
Delhi,30.5,0.0,13.5,0
Delhi,31.6,0.0,11.5,0
Delhi,28.9,0.0,12.5,0
Delhi,28.4,0.0,15.3,0
Delhi,28.7,0.0,19.6,0
Delhi,28.9,0.1,23.7,0
Delhi,28.8,0.0,15.1,0
Delhi,25.8,0.3,17.6,0
Delhi,26.4,0.0,15.8,0
Delhi,28.5,0.0,13.6,0
Delhi,30.5,0.0,9.3,0
Delhi,32.5,0.0,10.5,0
Delhi,33.8,0.0,10.9,0
Delhi,35.0,0.0,9.9,0
Delhi,37.1,0.0,11.2,0
Delhi,37.7,0.0,10.5,0
Delhi,35.9,0.0,19.1,0
Delhi,33.6,0.0,24.7,0
Delhi,34.8,0.0,17.8,0
Delhi,36.0,0.0,11.2,0
Delhi,35.7,0.0,12.8,0
Delhi,34.6,0.0,21.2,0
Delhi,36.6,0.0,12.8,0
Delhi,37.1,0.0,19.8,0
Delhi,36.2,0.0,24.8,0
Delhi,36.3,0.0,16.8,0
Delhi,37.9,0.0,11.5,0
Delhi,38.6,0.0,10.1,0
Delhi,39.5,0.5,11.2,0
Delhi,39.1,1.1,12.3,0
Delhi,36.0,0.0,13.6,0
Delhi,37.2,0.0,10.2,0
Delhi,38.5,0.0,12.1,0
Delhi,40.4,0.0,16.3,0
Delhi,41.3,0.0,20.5,0
Delhi,40.6,0.2,12.7,0
Delhi,40.5,1.0,19.5,0
Delhi,37.6,0.0,21.7,0
Delhi,35.7,0.7,18.2,0
Delhi,39.4,0.4,17.8,0
Delhi,40.8,0.0,18.1,0
Delhi,39.6,1.2,23.0,0
Delhi,38.3,0.7,19.4,0
Delhi,40.0,0.0,13.8,0
Delhi,39.9,0.0,17.1,0
Delhi,41.0,0.0,14.5,0
Delhi,41.8,0.0,28.2,0
Delhi,42.6,0.0,16.5,0
Delhi,40.2,0.0,15.9,0
Delhi,40.2,0.0,19.9,0
Delhi,38.6,1.8,24.4,0
Delhi,33.5,1.6,23.3,0
Delhi,32.9,5.4,23.4,0
Delhi,35.1,0.3,14.0,0
Delhi,37.2,0.0,17.1,0
Delhi,39.6,0.0,11.5,0
Delhi,41.0,0.0,9.5,0
Delhi,40.2,4.2,24.3,0
Delhi,35.1,13.5,20.5,0
Delhi,35.3,9.0,21.4,0
Delhi,39.5,0.0,25.8,0
Delhi,39.5,0.0,27.6,0
Delhi,40.8,0.0,25.3,0
Delhi,41.6,0.0,22.8,0
Delhi,42.1,0.0,20.4,0
Delhi,42.5,0.7,16.8,0
Delhi,41.3,1.0,19.9,0
Delhi,40.0,0.0,21.8,0
Delhi,39.6,0.0,18.8,0
Delhi,41.4,0.0,19.8,0
Delhi,42.3,0.0,27.5,0
Delhi,43.0,0.0,27.6,0
Delhi,42.7,0.0,24.1,0
Delhi,42.3,0.0,26.5,0
Delhi,43.4,0.0,25.8,0
Delhi,42.8,0.0,25.6,0
Delhi,39.1,4.9,17.8,0
Delhi,40.6,0.3,18.0,0
Delhi,40.3,0.0,12.2,0
Delhi,39.3,9.1,16.0,0
Delhi,35.8,0.0,19.8,0
